id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket,final_campus
31,26ABTemp0009,2,02/15/2026 11:50 PM,2026-02-15 23:50:00,02/15/2026 11:59 PM,Visitor reported a concern for a student,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-15,2026,2,February,23,Sunday,True,Late Night,Abington
34,26ABTemp0008,2,02/15/2026 08:24 PM,2026-02-15 20:20:00,02/14/2026 08:50 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-15,2026,2,February,20,Sunday,True,Evening,Abington
71,26ABTemp0007,2,02/14/2026 12:16 PM,2026-02-14 12:16:00,02/14/2026 12:35 PM,Assisted the ambulance with a medical emergency,PHYSICAL EDUCATION BUILDING,2026-02-18 21:43:32,2026-02-14,2026,2,February,12,Saturday,True,Afternoon,Abington
72,26ABTemp0006,2,02/14/2026 11:18 AM,2026-02-14 11:36:00,,Employee reported a suspicious activity,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-14,2026,2,February,11,Saturday,True,Morning,Abington
118,26ABTemp0003,2,02/13/2026 12:00 AM,2026-02-13 10:03:00,02/13/2026 10:19 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-13,2026,2,February,10,Friday,False,Morning,Abington
155,26ABTMP00001,2,02/11/2026 04:56 PM,2026-02-11 16:50:00,02/11/2026 04:56 PM,Assisted an ambulance with a medical emergency,SUTHERLAND BUILDING,2026-02-18 21:43:32,2026-02-11,2026,2,February,16,Wednesday,False,Afternoon,Abington
184,26AB00054,2,02/10/2026 03:56 PM,2026-02-10 14:45:00,02/10/2026 03:05 PM,Student reported the loss or theft of their unattended personal property,WOODLAND BUILDING,2026-02-18 21:43:32,2026-02-10,2026,2,February,14,Tuesday,False,Afternoon,Abington
193,26AB00055,2,02/10/2026 12:25 PM,2026-02-10 11:54:00,02/10/2026 11:55 AM,Student reported being harassed,LOT G - ABINGTON,2026-02-18 21:43:32,2026-02-10,2026,2,February,11,Tuesday,False,Morning,Abington
207,26AB00053,2,02/09/2026 09:15 PM,2026-02-09 21:00:00,02/09/2026 09:40 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-09,2026,2,February,21,Monday,False,Evening,Abington
231,26AB00052,2,02/09/2026 05:53 AM,2026-02-09 05:32:00,02/09/2026 05:34 AM,Assisted an outside law enforcement agency with an investigation,ROBERTS AVE & WELDON AVE,2026-02-18 21:43:32,2026-02-09,2026,2,February,5,Monday,False,Morning,Abington
249,26AB00051,2,02/08/2026 03:49 PM,2026-02-08 15:49:00,02/08/2026 04:15 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-08,2026,2,February,15,Sunday,True,Afternoon,Abington
282,26AB00048,2,02/07/2026 02:17 PM,2026-02-07 14:17:00,02/07/2026 02:59 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-07,2026,2,February,14,Saturday,True,Afternoon,Abington
287,26AB00047,2,02/07/2026 05:48 AM,2026-02-07 03:00:00,02/07/2026 06:40 AM,Student reported disorderly persons,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-07,2026,2,February,3,Saturday,True,Late Night,Abington
329,26AB00046,2,02/06/2026 09:12 AM,2026-02-06 09:00:00,02/06/2026 09:30 AM,"Employee reported the odor of marijuana, origin not located",LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-06,2026,2,February,9,Friday,False,Morning,Abington
348,26AB00045,2,02/05/2026 04:55 PM,2026-02-05 16:55:00,02/05/2026 05:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-05,2026,2,February,16,Thursday,False,Afternoon,Abington
378,26AB00044,2,02/04/2026 10:15 PM,2026-02-04 22:15:00,02/04/2026 11:50 PM,Employee reported a concerning odor/gas leak,LARES BUILDING,2026-02-18 21:43:32,2026-02-04,2026,2,February,22,Wednesday,False,Late Night,Abington
379,26AB00043,2,02/04/2026 09:47 PM,2026-02-04 21:47:00,02/04/2026 10:01 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-04,2026,2,February,21,Wednesday,False,Evening,Abington
382,26AB00042,2,02/04/2026 07:12 PM,2026-02-04 19:12:00,02/04/2026 07:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-04,2026,2,February,19,Wednesday,False,Evening,Abington
391,26AB00041,2,02/04/2026 01:43 PM,2026-02-04 13:43:00,02/04/2026 02:17 PM,Employee reported a parking concern,LOT G - ABINGTON,2026-02-18 21:43:32,2026-02-04,2026,2,February,13,Wednesday,False,Afternoon,Abington
440,26AB00040,2,02/03/2026 03:50 AM,2026-02-03 03:40:00,02/03/2026 03:45 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-03,2026,2,February,3,Tuesday,False,Late Night,Abington
468,26AB00039,2,02/02/2026 09:21 AM,2026-02-02 09:21:00,02/02/2026 09:49 AM,Employee reported a concern for a student,WOODLAND BUILDING,2026-02-18 21:43:32,2026-02-02,2026,2,February,9,Monday,False,Morning,Abington
493,26AB00038,2,02/01/2026 01:14 PM,2026-02-01 13:14:00,02/01/2026 01:32 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-01,2026,2,February,13,Sunday,True,Afternoon,Abington
496,26AB00037,2,02/01/2026 10:55 AM,2026-02-01 10:55:00,02/01/2026 11:12 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-02-01,2026,2,February,10,Sunday,True,Morning,Abington
500,26AB00036,2,02/01/2026 08:18 AM,2026-02-01 08:18:00,02/01/2026 08:50 AM,Employee reported a fire alarm activation,LARES BUILDING,2026-02-18 21:43:32,2026-02-01,2026,2,February,8,Sunday,True,Morning,Abington
513,26AB00035,2,01/31/2026 02:57 PM,2026-01-31 14:57:00,01/31/2026 03:10 PM,Student requested assistance with a personal matter,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-31,2026,1,January,14,Saturday,True,Afternoon,Abington
533,26AB00034,2,01/31/2026 05:05 AM,2026-01-31 05:00:00,01/31/2026 05:30 AM,Assisted the ambulance with a medical emergency,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-31,2026,1,January,5,Saturday,True,Morning,Abington
535,26AB00033,2,01/31/2026 01:20 AM,2026-01-31 01:15:00,01/31/2026 01:40 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-31,2026,1,January,1,Saturday,True,Late Night,Abington
549,26HB00035,13,01/30/2026 12:07 PM,2025-12-13 00:00:00,12/13/2025 11:59 PM,Employee reported a concern for another student,WOODLAND APPARTMENTS,2026-02-18 21:43:32,2025-12-13,2025,12,December,0,Saturday,True,Late Night,Abington
551,26AB00032,2,01/30/2026 11:48 AM,2026-01-29 20:00:00,01/30/2026 08:00 AM,Student reported being harassed,LIONS GATE NORTH PARKING LOT - ABINGTON,2026-02-18 21:43:32,2026-01-29,2026,1,January,20,Thursday,False,Evening,Abington
602,26AB00031,2,01/28/2026 07:15 PM,2026-01-28 19:15:00,01/28/2026 07:45 PM,Assisted with a fire drill alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-28,2026,1,January,19,Wednesday,False,Evening,Abington
616,26AB00030,2,01/28/2026 12:20 PM,2026-01-28 12:20:00,01/28/2026 01:10 PM,Student requested assistance with a personal matter,LOT J - ABINGTON,2026-02-18 21:43:32,2026-01-28,2026,1,January,12,Wednesday,False,Afternoon,Abington
625,26AB00029,2,01/28/2026 07:25 AM,2026-01-28 07:25:00,01/28/2026 07:50 AM,Employee reported a parking concern,WOODLAND BUILDING,2026-02-18 21:43:32,2026-01-28,2026,1,January,7,Wednesday,False,Morning,Abington
628,26AB00028,2,01/28/2026 01:30 AM,2026-01-28 01:25:00,01/28/2026 02:00 AM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-28,2026,1,January,1,Wednesday,False,Late Night,Abington
639,26AB00027,2,01/27/2026 04:45 PM,2026-01-16 00:00:00,01/27/2026 05:00 PM,Employee reported a concern for a student,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-16,2026,1,January,0,Friday,False,Late Night,Abington
642,26AB00026,2,01/27/2026 03:11 PM,2026-01-27 15:11:00,01/27/2026 03:25 PM,Employee reported a concern for students,LARES BUILDING,2026-02-18 21:43:32,2026-01-27,2026,1,January,15,Tuesday,False,Afternoon,Abington
647,26AB00025,2,01/27/2026 12:26 PM,2026-01-27 12:26:00,01/27/2026 12:46 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-27,2026,1,January,12,Tuesday,False,Afternoon,Abington
658,26AB00024,2,01/27/2026 09:00 AM,2026-01-27 09:00:00,01/27/2026 10:00 AM,Employee requested assistance with an administrative matter,LIONS GATE NORTH PARKING LOT - ABINGTON,2026-02-18 21:43:32,2026-01-27,2026,1,January,9,Tuesday,False,Morning,Abington
674,26AB00023,2,01/26/2026 07:20 PM,2026-01-26 19:15:00,01/26/2026 07:25 PM,Employee reported a fire alarm activation,LIONS GATE AT PENN STATE ABINGTON,2026-02-18 21:43:32,2026-01-26,2026,1,January,19,Monday,False,Evening,Abington
719,26AB00022,2,01/24/2026 02:00 PM,2026-01-24 14:00:00,01/24/2026 05:59 PM,Employee reported a parking concern,WOODLAND BUILDING,2026-02-18 21:43:32,2026-01-24,2026,1,January,14,Saturday,True,Afternoon,Abington
