id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket,final_campus
21,26BKTemp0004,4,02/16/2026 09:16 PM,2026-02-16 21:16:00,02/16/2026 09:35 PM,Employee reported a visitor trespassing in a residence hall,LAUREL HALL,2026-02-18 21:43:32,2026-02-16,2026,2,February,21,Monday,False,Evening,Berks
23,26BKTemp0003,4,02/16/2026 03:30 PM,2026-02-16 15:30:00,02/16/2026 04:30 PM,Employee reported a fire drill alarm,PEPPERWOOD HALL,2026-02-18 21:43:32,2026-02-16,2026,2,February,15,Monday,False,Afternoon,Berks
73,26BKTemp0002,4,02/14/2026 11:07 AM,2026-02-14 10:37:00,02/14/2026 10:47 AM,Assisted an outside law enforcement agency with an investigation,HILLVALE AVE & SPOHN RD,2026-02-18 21:43:32,2026-02-14,2026,2,February,10,Saturday,True,Morning,Berks
170,26BKtemp0001,4,02/11/2026 09:02 AM,2026-02-11 09:02:00,,Employee reported parking concern,FACULTY STAFF VISITOR LOT B1- BERKS,2026-02-18 21:43:32,2026-02-11,2026,2,February,9,Wednesday,False,Morning,Berks
194,26BK00033,4,02/10/2026 12:17 PM,2025-08-01 00:00:00,02/10/2026 12:55 PM,Received this department's copy of a Protection From Abuse (PFA) order,LUERSSEN SCIENCE BUILDING,2026-02-18 21:43:32,2025-08-01,2025,8,August,0,Friday,False,Late Night,Berks
205,26BK00032,4,02/09/2026 11:24 PM,2026-02-09 23:07:00,02/10/2026 12:30 AM,Students reported being harassed,POPLAR HALL,2026-02-18 21:43:32,2026-02-09,2026,2,February,23,Monday,False,Late Night,Berks
215,26BK00031,4,02/09/2026 04:20 PM,2026-02-09 15:00:00,02/09/2026 03:30 PM,Student requested assistance with a personal matter,GREENWICH ST,2026-02-18 21:43:32,2026-02-09,2026,2,February,15,Monday,False,Afternoon,Berks
252,26BK00030,4,02/08/2026 11:48 AM,2026-02-08 11:45:00,02/08/2026 12:04 PM,Assisted an outside law enforcement agency with an investigation,PAPERMILL RD,2026-02-18 21:43:32,2026-02-08,2026,2,February,11,Sunday,True,Morning,Berks
315,26BK00029,4,02/06/2026 03:29 PM,2026-02-05 18:00:00,02/05/2026 07:00 PM,Student reported lost property,PERKINS STUDENT CENTER,2026-02-18 21:43:32,2026-02-05,2026,2,February,18,Thursday,False,Evening,Berks
326,26BK00028,4,02/06/2026 10:19 AM,2026-02-06 10:19:00,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32,2026-02-06,2026,2,February,10,Friday,False,Morning,Berks
