id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket,final_campus
197,26BW00031,7,02/10/2026 11:45 AM,2026-02-10 11:45:00,02/10/2026 11:50 AM,Employee requested assistance with an administrative matter,COMMONS & ATHLETIC CENTER,2026-02-18 21:43:32,2026-02-10,2026,2,February,11,Tuesday,False,Morning,Brandywine
198,26BW00030,7,02/10/2026 10:27 AM,2026-02-10 06:37:00,02/10/2026 06:38 AM,Employee reported accidental damage to University property,MAIN BUILDING,2026-02-18 21:43:32,2026-02-10,2026,2,February,6,Tuesday,False,Morning,Brandywine
209,26BW00029,7,02/09/2026 07:35 PM,2026-02-09 19:27:00,02/09/2026 08:02 PM,Student reported being harassed,EDWARD S J TOMEZSKO CLASSROOM BUILDING,2026-02-18 21:43:32,2026-02-09,2026,2,February,19,Monday,False,Evening,Brandywine
222,26BW00028,7,02/09/2026 02:09 PM,2026-02-02 00:00:00,02/09/2026 02:12 PM,Employee reported the theft of University property,VAIRO LIBRARY,2026-02-18 21:43:32,2026-02-02,2026,2,February,0,Monday,False,Late Night,Brandywine
225,26BW00027,7,02/09/2026 01:06 PM,2026-02-09 13:06:00,02/09/2026 01:15 PM,Student reported suspicious activity,MAIN BUILDING LOT - BRANDYWINE,2026-02-18 21:43:32,2026-02-09,2026,2,February,13,Monday,False,Afternoon,Brandywine
228,26BW00026,7,02/09/2026 09:52 AM,2026-02-09 09:52:00,02/09/2026 10:19 AM,Visitor  reported a one vehicle crash with no injuries,CAMPUS DR & N MIDDLETOWN RD,2026-02-18 21:43:32,2026-02-09,2026,2,February,9,Monday,False,Morning,Brandywine
277,26BW00025,7,02/07/2026 08:35 PM,2026-02-07 20:35:00,02/07/2026 08:42 PM,Student reported a fire alarm activation,ORCHARD HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,20,Saturday,True,Evening,Brandywine
355,26BW00023,7,02/05/2026 03:33 PM,2026-02-04 09:45:00,02/05/2026 03:55 PM,Employee reported a concern for another student,VAIRO LIBRARY,2026-02-18 21:43:32,2026-02-04,2026,2,February,9,Wednesday,False,Morning,Brandywine
401,26BW00022,7,02/04/2026 09:20 AM,2026-02-04 09:20:00,02/04/2026 09:25 AM,Employee reported unsafe conditions,VAIRO PARKING LOT - BRANDYWINE,2026-02-18 21:43:32,2026-02-04,2026,2,February,9,Wednesday,False,Morning,Brandywine
403,26BW00021,7,02/04/2026 03:11 AM,2026-02-04 03:11:00,02/04/2026 03:52 AM,Student requested assistance with a civil matter,ORCHARD HALL,2026-02-18 21:43:32,2026-02-04,2026,2,February,3,Wednesday,False,Late Night,Brandywine
409,26BW00020,7,02/03/2026 11:19 PM,2026-02-03 23:19:00,02/03/2026 11:30 PM,Employee reported an intrusion alarm activation,MAIN BUILDING,2026-02-18 21:43:32,2026-02-03,2026,2,February,23,Tuesday,False,Late Night,Brandywine
