id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket,final_campus
19,26ERtemp0006,5,02/16/2026 09:43 PM,2026-02-16 21:43:00,02/16/2026 10:15 PM,Student reported suspicious activity,REED UNION BUILDING,2026-02-18 21:43:32,2026-02-16,2026,2,February,21,Monday,False,Evening,Erie
24,26ERtemp0005,5,02/16/2026 03:20 PM,2026-02-16 15:15:00,02/16/2026 03:45 PM,Employee reported a concern for a visitor,REED LOT,2026-02-18 21:43:32,2026-02-16,2026,2,February,15,Monday,False,Afternoon,Erie
36,26ERtemp0004,5,02/15/2026 08:15 PM,2026-02-15 20:13:00,02/15/2026 09:12 PM,Employee reported a power outage and alarm activation,NIAGARA HALL,2026-02-18 21:43:32,2026-02-15,2026,2,February,20,Sunday,True,Evening,Erie
60,26ERtemp0003,5,02/14/2026 09:03 PM,2026-02-14 21:03:00,02/14/2026 09:30 PM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32,2026-02-14,2026,2,February,21,Saturday,True,Evening,Erie
117,26ERtemp0002,5,02/13/2026 12:00 AM,2026-02-13 00:00:00,02/13/2026 12:10 AM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32,2026-02-13,2026,2,February,0,Friday,False,Late Night,Erie
153,26ERtemp0001,5,02/11/2026 05:31 PM,2026-02-11 17:31:00,02/11/2026 05:50 PM,Assisted the fire department with a reported fire,SENAT HALL,2026-02-18 21:43:32,2026-02-11,2026,2,February,17,Wednesday,False,Evening,Erie
179,26ER00046,5,02/10/2026 10:45 PM,2026-02-10 22:45:00,,Student reported the theft of University property,NIAGARA HALL,2026-02-18 21:43:32,2026-02-10,2026,2,February,22,Tuesday,False,Late Night,Erie
263,26ER00045,5,02/08/2026 12:28 AM,2026-02-08 00:28:00,02/08/2026 01:00 AM,Assisted Residence Life staff with a University policy violation,ELLIOTT HALL,2026-02-18 21:43:32,2026-02-08,2026,2,February,0,Sunday,True,Late Night,Erie
318,26ER00044,5,02/06/2026 03:03 PM,2026-02-05 00:00:00,02/05/2026 11:59 PM,Student reported being harassed,REED BUILDING,2026-02-18 21:43:32,2026-02-05,2026,2,February,0,Thursday,False,Late Night,Erie
367,26ER00043,5,02/05/2026 08:20 AM,2026-02-05 08:19:00,02/05/2026 08:30 AM,Employee reported a fire alarm activation,SENAT HALL,2026-02-18 21:43:32,2026-02-05,2026,2,February,8,Thursday,False,Morning,Erie
402,26ER00042,5,02/04/2026 08:28 AM,2026-02-04 08:28:00,,Employee reported suspicious activity,COLLEGE DR,2026-02-18 21:43:32,2026-02-04,2026,2,February,8,Wednesday,False,Morning,Erie
506,26ER00041,5,01/31/2026 09:33 PM,2026-01-31 21:33:00,01/31/2026 09:42 PM,Employee reported an alarm activation,METZGAR ADMISSIONS & ALUMNI CTR,2026-02-18 21:43:32,2026-01-31,2026,1,January,21,Saturday,True,Evening,Erie
512,26ER00040,5,01/31/2026 03:07 PM,2026-01-31 15:07:00,01/31/2026 03:15 PM,Employee reported a fire alarm activation,TRIPPE HALL,2026-02-18 21:43:32,2026-01-31,2026,1,January,15,Saturday,True,Afternoon,Erie
522,26ER00039,5,01/31/2026 11:32 AM,2026-01-31 11:32:00,01/31/2026 11:45 AM,Employee reported a suspicious item,DOBBINS HALL,2026-02-18 21:43:32,2026-01-31,2026,1,January,11,Saturday,True,Morning,Erie
527,26ER00038,5,01/31/2026 08:53 AM,2026-01-31 08:53:00,01/31/2026 09:30 AM,Employee reported a parking concern,TIFFANY LOT - ERIE,2026-02-18 21:43:32,2026-01-31,2026,1,January,8,Saturday,True,Morning,Erie
583,26ER00037,5,01/29/2026 09:29 AM,2026-01-29 09:27:00,01/29/2026 09:40 AM,Employee reported a fire alarm activation,TRIPPE HALL,2026-02-18 21:43:32,2026-01-29,2026,1,January,9,Thursday,False,Morning,Erie
586,26ER00036,5,01/29/2026 08:45 AM,2026-01-29 08:40:00,01/29/2026 09:20 AM,Student reported a one vehicle crash with no injuries,TECHNOLOGY DR,2026-02-18 21:43:32,2026-01-29,2026,1,January,8,Thursday,False,Morning,Erie
587,26ER00035,5,01/29/2026 07:00 AM,2026-01-29 07:00:00,01/29/2026 07:30 AM,Employee reported a parking concern,ALMY LOT - ERIE,2026-02-18 21:43:32,2026-01-29,2026,1,January,7,Thursday,False,Morning,Erie
593,26ER00034,5,01/28/2026 09:17 PM,2026-01-28 21:17:00,01/28/2026 09:40 PM,Employee reported an alarm activation,CARRIAGE HOUSE,2026-02-18 21:43:32,2026-01-28,2026,1,January,21,Wednesday,False,Evening,Erie
604,26ER00033,5,01/28/2026 06:21 PM,2026-01-28 18:21:00,01/28/2026 06:40 PM,Employee reported a parking concern,TIFFANY LOT - ERIE,2026-02-18 21:43:32,2026-01-28,2026,1,January,18,Wednesday,False,Evening,Erie
640,26ER00032,5,01/27/2026 03:58 PM,2026-01-24 00:00:00,01/24/2026 11:59 PM,Student reported being physically assaulted by a known person,TRIPPE HALL,2026-02-18 21:43:32,2026-01-24,2026,1,January,0,Saturday,True,Late Night,Erie
643,26ER00031,5,01/27/2026 02:44 PM,2026-01-25 12:00:00,01/25/2026 06:00 PM,Student reported they were indecently assaulted by a known person in a residence hall,RESIDENCE HALL COMPLEX,2026-02-18 21:43:32,2026-01-25,2026,1,January,12,Sunday,True,Afternoon,Erie
661,26ER00030,5,01/27/2026 06:14 AM,2026-01-27 06:13:00,01/27/2026 06:25 AM,Employee reported a fire alarm activation,PORCUPINE HALL,2026-02-18 21:43:32,2026-01-27,2026,1,January,6,Tuesday,False,Morning,Erie
673,26ER00029,5,01/26/2026 08:18 PM,2026-01-26 20:18:00,01/26/2026 08:47 PM,Resident Assistant reported the odor of marijuana,NIAGARA HALL,2026-02-18 21:43:32,2026-01-26,2026,1,January,20,Monday,False,Evening,Erie
690,26ER00028,5,01/25/2026 10:33 PM,2026-01-25 22:33:00,01/25/2026 10:40 PM,Employee reported an alarm activation,METZGAR ADMISSIONS & ALUMNI CTR,2026-02-18 21:43:32,2026-01-25,2026,1,January,22,Sunday,True,Late Night,Erie
697,26ER00027,5,01/25/2026 10:50 AM,2026-01-25 10:50:00,01/25/2026 11:00 AM,Visitor requested assistance in locating a student,LAWRENCE HALL,2026-02-18 21:43:32,2026-01-25,2026,1,January,10,Sunday,True,Morning,Erie
739,26ER00026,5,01/24/2026 01:03 AM,2026-01-24 01:03:00,01/24/2026 01:55 AM,Employee reported disorderly persons,TRIPPE HALL,2026-02-18 21:43:32,2026-01-24,2026,1,January,1,Saturday,True,Late Night,Erie
740,26ER00025,5,01/24/2026 12:48 AM,2026-01-24 00:48:00,01/24/2026 01:46 AM,Student observed highly intoxicated and transported to the hospital,TRIPPE HALL,2026-02-18 21:43:32,2026-01-24,2026,1,January,0,Saturday,True,Late Night,Erie
774,26ER00024,5,01/22/2026 11:00 PM,2026-01-22 23:00:00,01/23/2026 12:55 AM,Underage student observed highly intoxicated and transported to the hospital,TIFFANY HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,23,Thursday,False,Late Night,Erie
776,26ER00023,5,01/22/2026 08:57 PM,2026-01-22 20:57:00,01/22/2026 09:08 PM,Employee reported a fire alarm activation,ELLIOTT HALL,2026-02-18 21:43:32,2026-01-22,2026,1,January,20,Thursday,False,Evening,Erie
792,26ER00022,5,01/22/2026 10:00 AM,2026-01-22 09:55:00,01/22/2026 10:45 AM,Visitor reported a traffic concern regarding a vehicle,SENAT HALL SIDEWALK,2026-02-18 21:43:32,2026-01-22,2026,1,January,9,Thursday,False,Morning,Erie
803,26ER00021,5,01/21/2026 11:20 PM,2026-01-21 23:20:00,01/21/2026 11:30 PM,Employee reported a fire alarm activation,ALMY HALL,2026-02-18 21:43:32,2026-01-21,2026,1,January,23,Wednesday,False,Late Night,Erie
811,26ER00020,5,01/21/2026 06:00 PM,2026-01-21 18:00:00,01/21/2026 06:29 PM,Employee reported unsafe conditions,REED BUILDING NORTH SIDEWALK,2026-02-18 21:43:32,2026-01-21,2026,1,January,18,Wednesday,False,Evening,Erie
867,26ER00019,5,01/19/2026 01:45 PM,2025-09-15 00:00:00,11/24/2025 11:59 PM,Student reported theft by deception,COLLEGE DR,2026-02-18 21:43:32,2025-09-15,2025,9,September,0,Monday,False,Late Night,Erie
880,26ER00018,5,01/18/2026 11:56 PM,2026-01-18 23:56:00,01/19/2026 12:30 AM,Visitor requested assistance in locating a student,OHIO HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,23,Sunday,True,Late Night,Erie
882,26ER00017,5,01/18/2026 10:45 PM,2026-01-18 22:45:00,01/18/2026 11:30 PM,Visitor reported an alarm activation,REED BUILDING,2026-02-18 21:43:32,2026-01-18,2026,1,January,22,Sunday,True,Late Night,Erie
891,26ER00016,5,01/18/2026 01:00 PM,2026-01-18 13:00:00,01/18/2026 02:30 PM,Visitor requested assistance with locating a student,OHIO HALL,2026-02-18 21:43:32,2026-01-18,2026,1,January,13,Sunday,True,Afternoon,Erie
905,26ER00015,5,01/18/2026 12:00 AM,2026-01-18 00:00:00,01/18/2026 12:15 AM,Officers responded to a 911 hang-up with no voice contact,ALMY LOT - ERIE,2026-02-18 21:43:32,2026-01-18,2026,1,January,0,Sunday,True,Late Night,Erie
961,26ER00014,5,01/16/2026 10:06 AM,2026-01-16 10:03:00,,Student reported a two vehicle crash with no injuries,JORDAN RD & COLLEGE DR,2026-02-18 21:43:32,2026-01-16,2026,1,January,10,Friday,False,Morning,Erie
