id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,final_campus
5,26HNtemp0006,15,02/17/2026 08:34 PM,02/17/2026 08:24 PM,02/17/2026 08:40 PM,Employee reported suspicious vehicle,NORTH HALL,2026-02-18 21:43:32,Hazleton
18,26HNtemp0005,15,02/16/2026 09:44 PM,02/16/2026 09:44 PM,02/16/2026 11:35 PM,Assisted a law enforcement agency with an investigation,527 W COUNTY RD,2026-02-18 21:43:32,Hazleton
140,26HNtemp0001,15,02/12/2026 08:00 AM,02/10/2026 12:00 AM,02/12/2026 08:00 AM,Employee requested assistance with an administrative matter,6585 MCKINLEY ST,2026-02-18 21:43:32,Hazleton
145,26HNtemp0002,15,02/11/2026 11:55 PM,02/11/2026 11:55 PM,02/12/2026 12:05 AM,Assisted Law Enfoecement agency with an investigation,PA-93 & WOODBINE ST,2026-02-18 21:43:32,Hazleton
254,26HN00009,15,02/08/2026 09:35 AM,02/08/2026 09:35 AM,,Employee reported a fire alarm activation,DINING HALL,2026-02-18 21:43:32,Hazleton
343,26HN00007,15,02/05/2026 07:23 PM,02/04/2026 12:00 PM,02/04/2026 06:15 PM,Student reported being harassed,BUTLER BLDG,2026-02-18 21:43:32,Hazleton
346,26HN00008,15,02/05/2026 06:09 PM,02/05/2026 06:09 PM,02/05/2026 06:15 PM,Employee reported a suspicious odor,KOSTOS BUILDING,2026-02-18 21:43:32,Hazleton
813,26HN00005,15,01/21/2026 05:15 PM,01/21/2026 05:15 PM,01/21/2026 05:36 PM,Employee reported a fire alarm drill activation,RESIDENCE HALL NORTH,2026-02-18 21:43:32,Hazleton
836,26HN00004,15,01/20/2026 06:17 PM,01/20/2026 06:18 PM,01/20/2026 06:20 PM,Officers responded to a 911 hang-up with no voice contact,KOSTOS BUILDING,2026-02-18 21:43:32,Hazleton
1102,26HN00002,15,01/12/2026 08:11 AM,01/12/2026 08:11 AM,01/12/2026 08:20 AM,Employee reported a fire alarm activation,BOOKSTORE,2026-02-18 21:43:32,Hazleton
1139,26HN00001,15,01/10/2026 12:19 PM,01/10/2026 12:19 PM,01/10/2026 12:30 PM,Employee reported a fire alarm activation,RESIDENCE HALL SOUTH,2026-02-18 21:43:32,Hazleton
1511,26HN00017,15,02/24/2026 04:25 AM,02/24/2026 04:25 AM,02/24/2025 04:50 AM,Employee reported an intrusion alarm activation,DINING HALL,2026-02-25 02:54:48,Hazleton
1605,26HN00016,15,02/17/2026 08:34 PM,02/17/2026 08:24 PM,02/17/2026 08:45 PM,Employee reported suspicious activity,RESIDENCE HALL NORTH,2026-02-25 02:54:48,Hazleton
1606,26HN00014,15,02/16/2026 09:44 PM,02/16/2026 09:44 PM,02/16/2026 12:00 AM,Assisted an outside law enforcement agency with an investigation,W COUNTY RD,2026-02-25 02:54:48,Hazleton
1616,26HN00013,15,02/13/2026 12:00 PM,02/08/2026 08:00 AM,02/12/2026 09:00 PM,Employee reported suspicious activity,LOT J - HAZLETON,2026-02-25 02:54:48,Hazleton
1617,26HN00012,15,02/13/2026 08:30 AM,02/13/2026 08:30 AM,02/13/2026 09:00 AM,Assisted an outside law enforcement agency with an investigation,PA-93 & I-81,2026-02-25 02:54:48,Hazleton
1619,26HN00011,15,02/12/2026 08:30 AM,02/12/2026 08:30 AM,,Employee requested assistance with a civil matter,AZALEA RD,2026-02-25 02:54:48,Hazleton
1622,26HN00015,15,02/11/2026 11:15 AM,02/11/2026 11:15 AM,02/11/2026 12:05 PM,Assisted an outside law enforcement agency with an investigation,PA-93 & WOODBINE ST,2026-02-25 02:54:48,Hazleton
