id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,final_campus
9,26BRtemp0003,6,02/17/2026 02:00 PM,02/17/2026 01:58 PM,02/17/2026 02:00 PM,Employee reported a vehicle crash with no injuries,University Dr,2026-02-18 21:43:32,ambiguous_locations
37,2026-00002059,2,02/15/2026 07:24 PM,02/15/2026 07:24 PM,02/15/2026 07:26 PM,Assisted an outside law enforcement agency with an investigation,PENNSYLVANIA AVE,2026-02-18 21:43:32,ambiguous_locations
48,2026-00002045,2,02/15/2026 09:23 AM,02/15/2026 09:20 AM,02/15/2026 10:30 AM,Visitor reported being assaulted by a known person,HASTINGS RD & UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
250,26BR00007,6,02/08/2026 03:19 PM,02/08/2026 03:19 PM,,Visitor reported suspicious activity,UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
353,26DS00002,9,02/05/2026 04:09 PM,02/05/2026 04:09 PM,02/05/2026 06:00 PM,Student reported a concerning odor,COLLEGE PL & E DUBOIS AVE,2026-02-18 21:43:32,ambiguous_locations
381,26WS00005,22,02/04/2026 07:34 PM,02/04/2026 07:30 PM,,Employee reported a two vehicle crash with no injuries,RIDGE VIEW DR,2026-02-18 21:43:32,ambiguous_locations
569,26UP00449,1,01/29/2026 06:50 PM,01/29/2026 06:50 PM,01/29/2026 07:53 PM,Employee reported a two vehicle crash with no injuries,DAUER DR & UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
614,26SL00009,19,01/28/2026 12:50 PM,01/27/2026 10:59 AM,01/27/2026 11:01 AM,Employee reported a hit and run vehicle crash,UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
633,26UP00412,1,01/27/2026 08:15 PM,01/27/2026 08:15 PM,01/27/2026 10:06 PM,Assisted a visitor with a personal matter,E PARK AVE (BIGLER RD - UNIVERSITY DR),2026-02-18 21:43:32,ambiguous_locations
646,26BR00005,6,01/27/2026 12:36 PM,01/25/2026 12:00 AM,01/27/2026 05:00 AM,Employee reported damage to University property,UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
652,26SL00008,19,01/27/2026 10:51 AM,01/27/2026 10:45 AM,01/27/2026 11:19 AM,Assisted an outside law enforcement agency with an investigation,PA-61 & UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
656,26UP00406,1,01/27/2026 09:36 AM,01/27/2026 09:36 AM,,Assisted an outside law enforcement agency with an investigation,UNIVERSITY DR,2026-02-18 21:43:32,ambiguous_locations
824,PSHI-2026-01-I-132923,2,01/21/2026 11:11 AM,01/21/2026 12:35 PM,,Minor crash on campus.,Hershey - Dispatched To: HMC - University Drive Roadway > HMC - University Drive Roadway,2026-02-18 21:43:32,ambiguous_locations
845,26WS00003,22,01/20/2026 02:50 PM,01/20/2026 02:50 PM,,Employee reported a student being harassed,1ST AVE,2026-02-18 21:43:32,ambiguous_locations
846,26WS00002,22,01/20/2026 01:10 PM,01/20/2026 01:00 PM,01/20/2026 01:10 PM,Visitor reported a concern for a student,DEPOT ST,2026-02-18 21:43:32,ambiguous_locations
1249,PSHI-2026-01-I-132181,2,01/03/2026 04:44 AM,01/03/2026 04:15 AM,,“Assisted clinical staff with visitor problem.”,Hershey - Reported Location: HMC - Main Hospital - 3 - Acute Care - 500 University Dr Hershey PA USA,2026-02-18 21:43:32,ambiguous_locations
1423,26HN00010,15,02/19/2026 10:17 PM,02/19/2026 10:17 PM,02/19/2026 10:27 PM,Assisted an outside law enforcement agency with an investigation,PA-93 & UNIVERSITY DR,2026-02-21 20:58:08,ambiguous_locations
1478,26BR00009,6,02/17/2026 11:06 AM,02/17/2026 11:06 AM,,Employee reported a concern for another person,UNIVERSITY DR,2026-02-21 20:58:08,ambiguous_locations
1571,26BR00012,6,02/21/2026 02:06 PM,02/21/2026 02:06 PM,02/21/2026 02:11 PM,Employee reported suspicious activity,UNIVERSITY DR,2026-02-25 02:54:48,ambiguous_locations
