id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,campus
2,2026-00002149,2,02/18/2026 01:03 AM,02/18/2026 01:03 AM,02/18/2026 01:53 AM,Visitor requested assistance with a personal matter,EISENHOWER PARKING DECK,2026-02-18 21:43:32,other
3,2026-00002147,2,02/18/2026 12:05 AM,02/18/2026 12:05 AM,02/18/2026 12:38 AM,Employee reported a gas leak,GUION S BLUFORD BLDG,2026-02-18 21:43:32,other
6,2026-00002133,2,02/17/2026 06:24 PM,02/17/2026 06:15 PM,02/17/2026 08:28 PM,Employee reported a concern for another person,REDIFER HALL,2026-02-18 21:43:32,other
7,2026-00002131,2,02/17/2026 06:04 PM,01/10/2026 12:00 AM,02/17/2026 06:00 PM,Student reported the loss or theft of their unattended personal property,RUNKLE HALL,2026-02-18 21:43:32,other
8,2026-00002119,2,02/17/2026 03:13 PM,02/17/2026 03:13 PM,02/17/2026 04:35 PM,Visitor requested assistance with an administrative matter,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,other
9,26BRtemp0003,6,02/17/2026 02:00 PM,02/17/2026 01:58 PM,02/17/2026 02:00 PM,Employee reported a vehicle crash with no injuries,University Dr,2026-02-18 21:43:32,other
10,2026-00002115,2,02/17/2026 01:59 PM,02/17/2026 01:30 PM,02/17/2026 01:50 PM,Employee reported a suspicious person,HINTZ FAMILY ALUMNI CENTER,2026-02-18 21:43:32,other
11,2026-00002114,2,02/17/2026 01:30 PM,02/16/2026 04:43 PM,02/16/2026 05:36 PM,Employee reported persons trespassing inside a University building,GREENBERG INDOOR SPORTS,2026-02-18 21:43:32,other
13,2026-00002113,2,02/17/2026 11:28 AM,02/14/2026 12:00 AM,02/17/2026 11:28 AM,Student reported being harassed,MARTIN ST,2026-02-18 21:43:32,other
14,26BRtemp0002,6,02/17/2026 11:06 AM,02/17/2026 12:00 AM,02/17/2026 11:06 AM,Employee reported concern for another person,POLICE SERVICES BLDG,2026-02-18 21:43:32,other
16,2026-00002104,2,02/17/2026 01:14 AM,02/17/2026 01:14 AM,02/17/2026 01:30 AM,"Student reported the odor of marijuana, origin not located",PENNYPACKER HALL,2026-02-18 21:43:32,other
17,2026-00002100,2,02/16/2026 11:00 PM,02/16/2026 08:12 PM,02/16/2026 11:46 PM,University employee reported a suspicious vehicle,STEAM DR,2026-02-18 21:43:32,other
20,2026-00002099,2,02/16/2026 09:30 PM,02/16/2026 09:30 PM,02/16/2026 10:24 PM,Identified occupants in possession of marijuana and drug paraphernalia,NELSON HALL,2026-02-18 21:43:32,other
22,2026-00002086,2,02/16/2026 04:36 PM,02/17/2024 12:00 AM,02/18/2024 12:00 AM,Student reported they were sexually assaulted by a known person in a residence hall,WEST HALLS RESIDENCE COMPLEX,2026-02-18 21:43:32,other
25,2026-00002079,2,02/16/2026 11:39 AM,02/06/2026 09:30 PM,02/07/2026 01:30 AM,Assisted a student with an administrative matter,STONE HALL,2026-02-18 21:43:32,other
26,2026-00002078,2,02/16/2026 11:20 AM,02/13/2026 12:00 AM,02/13/2026 11:59 PM,Assisted an outside law enforcement agency with an investigation,OFF CAMPUS FRATERNITY,2026-02-18 21:43:32,other
27,2026-00002076,2,02/16/2026 10:17 AM,02/06/2026 12:00 AM,02/06/2026 11:59 PM,Assisted an outside law enforcement agency with an investigation,OFF CAMPUS FRATERNITY,2026-02-18 21:43:32,other
28,26SHtemp0001,20,02/16/2026 09:45 AM,02/16/2026 09:45 AM,02/17/2026 01:00 PM,Employee requested assistance with an adminstrative matter,Sharon Hall,2026-02-18 21:43:32,other
29,2026-00002074,2,02/16/2026 02:47 AM,02/16/2026 02:47 AM,02/16/2026 03:24 AM,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,N ATHERTON ST & WOODLAND DR,2026-02-18 21:43:32,other
30,2026-00002081,2,02/16/2026 02:00 AM,02/16/2026 02:00 AM,02/16/2026 08:30 AM,Employee reported suspicious person,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,other
32,2026-00002067,2,02/15/2026 09:31 PM,02/15/2026 09:27 PM,02/15/2026 10:30 PM,Assisted an outside law enforcement agency with an investigation,WHITE BLDG,2026-02-18 21:43:32,other
33,2026-00002066,2,02/15/2026 09:07 PM,02/15/2026 09:07 PM,02/15/2026 09:33 PM,Student reported suspicious activity,HASTINGS HALL,2026-02-18 21:43:32,other
35,2026-00002065,2,02/15/2026 08:20 PM,02/15/2026 08:20 PM,,Assisted a student with a personal matter,WARING HALL,2026-02-18 21:43:32,other
37,2026-00002059,2,02/15/2026 07:24 PM,02/15/2026 07:24 PM,02/15/2026 07:26 PM,Assisted an outside law enforcement agency with an investigation,PENNSYLVANIA AVE,2026-02-18 21:43:32,other
40,2026-00002055,2,02/15/2026 04:28 PM,10/01/2025 12:00 AM,02/11/2026 11:59 PM,Student reported fraudulent charges,BRUMBAUGH HALL,2026-02-18 21:43:32,other
42,2026-00002049,2,02/15/2026 02:23 PM,02/14/2026 11:20 PM,02/15/2026 02:40 PM,Student reported being harassed,KATZ BLDG,2026-02-18 21:43:32,other
48,2026-00002045,2,02/15/2026 09:23 AM,02/15/2026 09:20 AM,02/15/2026 10:30 AM,Visitor reported being assaulted by a known person,HASTINGS RD & UNIVERSITY DR,2026-02-18 21:43:32,other
52,2026-00002040,2,02/15/2026 03:48 AM,02/15/2026 03:48 AM,02/15/2026 03:59 AM,A vehicle stop investigation revealed the operator to be driving under the influence of  alcohol,W COLLEGE AVE & N BURROWES RD,2026-02-18 21:43:32,other
55,2026-00002034,2,02/15/2026 01:41 AM,02/15/2026 01:41 AM,02/15/2026 02:27 AM,Underage student observed highly intoxicated,SIMMONS HALL,2026-02-18 21:43:32,other
56,2026-00002033,2,02/15/2026 01:28 AM,02/15/2026 01:10 AM,02/15/2026 01:27 AM,Employee reported persons trespassing inside a restricted area,BEAVER STADIUM,2026-02-18 21:43:32,other
58,2026-00002019,2,02/14/2026 10:15 PM,02/14/2026 10:15 PM,02/14/2026 10:38 PM,Visitor expressed concern for a student,HIBBS HALL,2026-02-18 21:43:32,other
59,2026-00002020,2,02/14/2026 10:13 PM,02/14/2026 10:13 PM,02/14/2026 10:32 PM,Student observed highly intoxicated and transported to the hospital,SIMMONS HALL,2026-02-18 21:43:32,other
61,2026-00002016,2,02/14/2026 09:01 PM,02/09/2026 12:00 AM,02/14/2026 09:00 PM,Student reported being harassed,THOMPSON HALL,2026-02-18 21:43:32,other
62,2026-00002015,2,02/14/2026 08:29 PM,02/14/2026 08:25 PM,02/14/2026 08:42 PM,Resident Assistant reported a suspicious odor,TENER HALL,2026-02-18 21:43:32,other
63,2026-00002014,2,02/14/2026 08:25 PM,02/14/2026 06:00 PM,02/14/2026 06:45 PM,Student reported the theft of their unsecured personal property,INTRAMURAL BLDG,2026-02-18 21:43:32,other
69,2026-00002006,2,02/14/2026 01:03 PM,02/14/2026 03:00 AM,02/14/2026 07:00 AM,Student reported the theft of University property,ROBINSON HALL,2026-02-18 21:43:32,other
70,2026-00002005,2,02/14/2026 12:32 PM,02/14/2026 12:25 PM,02/14/2026 12:32 PM,Student reported the theft of unsecured personal property,CHEMICAL AND BIOMEDICAL ENGINEERING BLDG,2026-02-18 21:43:32,other
78,2026-00001998,2,02/14/2026 08:09 AM,02/14/2026 08:09 AM,02/14/2026 08:49 AM,Student observed highly intoxicated,ATHERTON HALL,2026-02-18 21:43:32,other
79,26MAtemp0002,17,02/14/2026 06:01 AM,02/14/2026 05:26 AM,02/14/2026 05:29 AM,Student reported theft of their unattended personal property,MONT ALTO HALL,2026-02-18 21:43:32,other
82,2026-00001995,2,02/14/2026 03:30 AM,02/14/2026 03:30 AM,02/14/2026 04:28 AM,Underage student observed highly intoxicated and transported to the hospital,EARLE HALL,2026-02-18 21:43:32,other
83,2026-00001994,2,02/14/2026 03:27 AM,02/14/2026 03:27 AM,02/14/2026 03:48 AM,Underage student observed highly intoxicated and transported to the hospital,HIBBS HALL,2026-02-18 21:43:32,other
84,2026-00001993,2,02/14/2026 03:05 AM,02/14/2026 03:05 AM,02/14/2026 03:32 AM,Student reported damage to University property,HASTINGS HALL,2026-02-18 21:43:32,other
86,2026-00001990,2,02/14/2026 02:28 AM,02/14/2026 02:28 AM,02/14/2026 03:05 AM,Underage student observed highly intoxicated,SPROUL HALL,2026-02-18 21:43:32,other
91,2026-00001981,2,02/13/2026 10:25 PM,02/13/2026 10:25 PM,,Student reported theft of unattended personal property,MARTIN HALL,2026-02-18 21:43:32,other
92,2026-00001975,2,02/13/2026 09:45 PM,02/13/2026 09:35 PM,02/13/2026 09:45 PM,Visitor reported hit and run vehicle crash,PARK AVE & STADIUM WEST RD,2026-02-18 21:43:32,other
93,2026-00001973,2,02/13/2026 09:40 PM,02/13/2026 09:40 PM,02/13/2026 10:00 PM,Assisted outside law enforcement agency with an investigation,E CALDER WAY & HETZEL ST,2026-02-18 21:43:32,other
95,2026-00001961,2,02/13/2026 06:44 PM,02/13/2026 06:44 PM,02/13/2026 07:01 PM,Employee reported a one vehicle accident with no injuries,EAST PARKING DECK,2026-02-18 21:43:32,other
96,2026-00001960,2,02/13/2026 06:41 PM,02/13/2026 06:41 PM,,Assisted outside law enforcement agency with an investigation,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,other
97,2026-00001959,2,02/13/2026 06:15 PM,02/13/2026 06:15 PM,02/13/2026 06:44 PM,Employee reported a one vehicle accident with no injuries,EAST PARKING DECK,2026-02-18 21:43:32,other
101,2026-00001958,2,02/13/2026 04:59 PM,02/13/2026 04:59 PM,02/13/2026 05:38 PM,Employee reported smoke or fire condition,SPARKS BLDG,2026-02-18 21:43:32,other
102,2026-00001954,2,02/13/2026 03:33 PM,02/13/2026 03:33 PM,02/13/2026 04:15 PM,Two vehicle crash with no injuries,RIDER BLDG,2026-02-18 21:43:32,other
105,2026-00001953,2,02/13/2026 02:08 PM,02/13/2026 02:08 PM,02/13/2026 02:28 PM,Student reported theft of unattended university property,BRILL HALL,2026-02-18 21:43:32,other
110,2026-00001946,2,02/13/2026 10:53 AM,02/13/2026 10:53 AM,02/13/2026 11:21 AM,Employee reported concern for a student,STUDENT HEALTH CENTER,2026-02-18 21:43:32,other
119,2026-00001929,2,02/12/2026 08:39 PM,02/12/2026 08:39 PM,02/12/2026 08:57 PM,"Employee reported the odor of marijuana, origin not located",TENER HALL,2026-02-18 21:43:32,other
123,2026-00001917,2,02/12/2026 04:41 PM,02/12/2026 05:30 AM,02/12/2026 04:30 PM,Employee reported suspicious activity,PHYSICAL PLANT BLDG,2026-02-18 21:43:32,other
126,2026-00001915,2,02/12/2026 02:36 PM,02/12/2026 02:27 PM,02/12/2026 03:01 PM,"Employee reported the odor of marijuana, origin not located",TENER HALL,2026-02-18 21:43:32,other
128,2026-00001913,2,02/12/2026 02:00 PM,01/26/2026 01:00 PM,01/26/2026 03:00 PM,Employee reported a university policy violation,NITTANY APT,2026-02-18 21:43:32,other
129,2026-00001912,2,02/12/2026 01:45 PM,02/09/2026 12:00 AM,02/12/2026 01:45 PM,Student reported being harassed,UNKNOWN ON CAMPUS PROPERTY,2026-02-18 21:43:32,other
133,2026-00001907,2,02/12/2026 10:49 AM,02/11/2026 11:15 AM,02/11/2026 03:00 PM,Visitor reported the theft of their unattended personal property,HOLUBA HALL,2026-02-18 21:43:32,other
137,2026-00001901,2,02/12/2026 09:25 AM,02/12/2026 09:21 AM,02/12/2026 10:05 AM,Employee reported a university policy violation,SIMMONS HALL,2026-02-18 21:43:32,other
142,26BRtemp0001,6,02/12/2026 02:29 AM,02/12/2026 02:29 AM,02/12/2026 02:49 AM,Employee reported a concern for a student,HARMONY HALL,2026-02-18 21:43:32,other
149,2026-00001891,2,02/11/2026 09:45 PM,02/11/2026 09:45 PM,02/12/2026 12:50 AM,Employee reported disorderly persons,MCKEAN RD & BIGLER RD,2026-02-18 21:43:32,other
151,2026-00001885,2,02/11/2026 07:53 PM,02/11/2026 07:53 PM,02/11/2026 08:30 PM,Students reported disorderly persons,PATTERSON HALL,2026-02-18 21:43:32,other
152,2026-00001880,2,02/11/2026 06:20 PM,02/11/2026 06:20 PM,02/11/2026 06:53 PM,Visitor reported suspicious activity,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,other
160,26MAtemp0001,17,02/11/2026 12:05 PM,02/09/2026 07:40 PM,02/10/2026 12:30 AM,Assisted an employee with an administrative matter,MULTI-PURPOSE BUILDING,2026-02-18 21:43:32,other
166,2026-00001870,2,02/11/2026 10:22 AM,02/11/2026 10:22 AM,,Student reported the loss or theft of their unsecured personal property,HIESTER HALL,2026-02-18 21:43:32,other
167,2026-00001867,2,02/11/2026 09:50 AM,02/05/2026 05:00 AM,02/11/2026 09:50 AM,Employee reported the loss of their unsecured personal property,INTRAMURAL BLDG,2026-02-18 21:43:32,other
169,2026-00001864,2,02/11/2026 09:13 AM,02/11/2026 09:13 AM,02/11/2026 09:32 AM,Assisted the fire department with a reported fire alarm,MINUTEMAN LN,2026-02-18 21:43:32,other
171,2026-00001862,2,02/11/2026 08:30 AM,02/11/2026 08:13 AM,02/11/2026 08:48 AM,Employee reported a two vehicle crash with no injury,SHORTLIDGE RD & EISENHOWER RD,2026-02-18 21:43:32,other
211,26YK00006,23,02/09/2026 05:12 PM,09/14/2025 12:00 AM,,Employee reported a student was indecently assaulted by a known person at a University sponsored location,HESHEYPARK DR,2026-02-18 21:43:32,other
250,26BR00007,6,02/08/2026 03:19 PM,02/08/2026 03:19 PM,,Visitor reported suspicious activity,UNIVERSITY DR,2026-02-18 21:43:32,other
279,26BR00006,6,02/07/2026 06:56 PM,02/07/2026 06:55 PM,02/07/2026 07:29 PM,Student reported a suspicious odor,HARMONY HALL,2026-02-18 21:43:32,other
353,26DS00002,9,02/05/2026 04:09 PM,02/05/2026 04:09 PM,02/05/2026 06:00 PM,Student reported a concerning odor,COLLEGE PL & E DUBOIS AVE,2026-02-18 21:43:32,other
381,26WS00005,22,02/04/2026 07:34 PM,02/04/2026 07:30 PM,,Employee reported a two vehicle crash with no injuries,RIDGE VIEW DR,2026-02-18 21:43:32,other
394,26WS00004,22,02/04/2026 12:34 PM,02/04/2026 12:30 PM,02/04/2026 01:06 PM,Assisted the ambulance with a medical emergency,STUDENT STUDY - LEARNING CENTER,2026-02-18 21:43:32,other
432,26GV00001,12,02/03/2026 11:49 AM,01/29/2026 12:00 AM,,Visitor observed urinating in public,GREAT VALLEY GRADUATE CENTER,2026-02-18 21:43:32,other
556,26GA00001,11,01/30/2026 04:32 AM,01/30/2026 04:32 AM,01/30/2026 04:48 AM,Employee reported a fire alarm activation,RESIDENCE HALL,2026-02-18 21:43:32,other
617,26YK00004,23,01/28/2026 12:00 PM,01/22/2026 12:01 AM,01/23/2026 12:01 AM,Student requested assistance with a personal matter,E BOUNDARY AVE,2026-02-18 21:43:32,other
646,26BR00005,6,01/27/2026 12:36 PM,01/25/2026 12:00 AM,01/27/2026 05:00 AM,Employee reported damage to University property,UNIVERSITY DR,2026-02-18 21:43:32,other
654,26BR00004,6,01/27/2026 10:39 AM,01/23/2026 12:00 AM,01/27/2026 10:39 AM,Employee reported damage to University property,STUDENT UNION BUILDING,2026-02-18 21:43:32,other
672,26BR00003,6,01/26/2026 08:32 PM,01/26/2026 08:32 PM,01/26/2026 08:57 PM,Assisted the ambulance with a medical emergency,HARMONY HALL,2026-02-18 21:43:32,other
