id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at
2,2026-00002149,2,02/18/2026 01:03 AM,02/18/2026 01:03 AM,02/18/2026 01:53 AM,Visitor requested assistance with a personal matter,EISENHOWER PARKING DECK,2026-02-18 21:43:32
3,2026-00002147,2,02/18/2026 12:05 AM,02/18/2026 12:05 AM,02/18/2026 12:38 AM,Employee reported a gas leak,GUION S BLUFORD BLDG,2026-02-18 21:43:32
4,26ALtemp00008,3,02/17/2026 08:47 PM,02/17/2026 07:05 PM,02/17/2026 08:47 PM,Employee reported a concern for another student,Slep Student Center,2026-02-18 21:43:32
5,26HNtemp0006,15,02/17/2026 08:34 PM,02/17/2026 08:24 PM,02/17/2026 08:40 PM,Employee reported suspicious vehicle,NORTH HALL,2026-02-18 21:43:32
6,2026-00002133,2,02/17/2026 06:24 PM,02/17/2026 06:15 PM,02/17/2026 08:28 PM,Employee reported a concern for another person,REDIFER HALL,2026-02-18 21:43:32
7,2026-00002131,2,02/17/2026 06:04 PM,01/10/2026 12:00 AM,02/17/2026 06:00 PM,Student reported the loss or theft of their unattended personal property,RUNKLE HALL,2026-02-18 21:43:32
8,2026-00002119,2,02/17/2026 03:13 PM,02/17/2026 03:13 PM,02/17/2026 04:35 PM,Visitor requested assistance with an administrative matter,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32
9,26BRtemp0003,6,02/17/2026 02:00 PM,02/17/2026 01:58 PM,02/17/2026 02:00 PM,Employee reported a vehicle crash with no injuries,University Dr,2026-02-18 21:43:32
10,2026-00002115,2,02/17/2026 01:59 PM,02/17/2026 01:30 PM,02/17/2026 01:50 PM,Employee reported a suspicious person,HINTZ FAMILY ALUMNI CENTER,2026-02-18 21:43:32
11,2026-00002114,2,02/17/2026 01:30 PM,02/16/2026 04:43 PM,02/16/2026 05:36 PM,Employee reported persons trespassing inside a University building,GREENBERG INDOOR SPORTS,2026-02-18 21:43:32
12,26ALtemp00007,3,02/17/2026 01:30 PM,02/17/2026 01:30 PM,,Employee reported a two vehicle crash with no injuries,Slep Lot,2026-02-18 21:43:32
13,2026-00002113,2,02/17/2026 11:28 AM,02/14/2026 12:00 AM,02/17/2026 11:28 AM,Student reported being harassed,MARTIN ST,2026-02-18 21:43:32
14,26BRtemp0002,6,02/17/2026 11:06 AM,02/17/2026 12:00 AM,02/17/2026 11:06 AM,Employee reported concern for another person,POLICE SERVICES BLDG,2026-02-18 21:43:32
15,26ALtemp00006,3,02/17/2026 09:20 AM,02/17/2026 09:20 AM,,Student requested assistance with a personal matter,Poplar Building,2026-02-18 21:43:32
16,2026-00002104,2,02/17/2026 01:14 AM,02/17/2026 01:14 AM,02/17/2026 01:30 AM,"Student reported the odor of marijuana, origin not located",PENNYPACKER HALL,2026-02-18 21:43:32
17,2026-00002100,2,02/16/2026 11:00 PM,02/16/2026 08:12 PM,02/16/2026 11:46 PM,University employee reported a suspicious vehicle,STEAM DR,2026-02-18 21:43:32
18,26HNtemp0005,15,02/16/2026 09:44 PM,02/16/2026 09:44 PM,02/16/2026 11:35 PM,Assisted a law enforcement agency with an investigation,527 W COUNTY RD,2026-02-18 21:43:32
19,26ERtemp0006,5,02/16/2026 09:43 PM,02/16/2026 09:43 PM,02/16/2026 10:15 PM,Student reported suspicious activity,REED UNION BUILDING,2026-02-18 21:43:32
20,2026-00002099,2,02/16/2026 09:30 PM,02/16/2026 09:30 PM,02/16/2026 10:24 PM,Identified occupants in possession of marijuana and drug paraphernalia,NELSON HALL,2026-02-18 21:43:32
21,26BKTemp0004,4,02/16/2026 09:16 PM,02/16/2026 09:16 PM,02/16/2026 09:35 PM,Employee reported a visitor trespassing in a residence hall,LAUREL HALL,2026-02-18 21:43:32
22,2026-00002086,2,02/16/2026 04:36 PM,02/17/2024 12:00 AM,02/18/2024 12:00 AM,Student reported they were sexually assaulted by a known person in a residence hall,WEST HALLS RESIDENCE COMPLEX,2026-02-18 21:43:32
