id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at
81,PSHI-2026-02-I-133818,2,02/14/2026 04:12 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
85,PSHI-2026-02-I-133817,2,02/14/2026 03:02 AM,,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
122,PSHI-2026-02-I-133758,2,02/12/2026 06:41 PM,,,Assisted LE with access to patient.,Hershey - Dispatched To: HMC - 1 - Trauma Surgical Main Southeast      > HMC - 1 - Trauma Surgical Main Southeast,2026-02-18 21:43:32
127,PSHI-2026-02-I-133749,2,02/12/2026 02:24 PM,,,"Theft of wallet that was lost, mislaid, or delivered by mistake.",Hershey - Dispatched To: COM - College of Medicine > COM - College of Medicine,2026-02-18 21:43:32
138,PSHI-2026-02-I-133740,2,02/12/2026 08:59 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
156,PSHI-2026-02-I-133705,2,02/11/2026 01:58 PM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2026-02-18 21:43:32
161,PSHI-2026-02-I-133699,2,02/11/2026 11:19 AM,,,Investigated suspicious activity.,Hershey - Dispatched To: HMC - UPC-2 - 2 - Medicine Suite > HMC - UPC-2 - 2 - Medicine Suite,2026-02-18 21:43:32
173,PSHI-2026-02-I-133685,2,02/11/2026 04:12 AM,,,Team de-escalation for agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
203,PSHI-2026-02-I-133634,2,02/10/2026 12:30 AM,,,Received court documents.,Hershey - Dispatched To: HMC - Children's Hospital - 7 - Labor and Delivery  > HMC - Children's Hospital - 7 - Labor and Delivery,2026-02-18 21:43:32
204,PSHI-2026-02-I-133633,2,02/09/2026 11:47 PM,,,Assisted with unlocked door.,Hershey - Dispatched To: HMC - UPC-1 > HMC - UPC-1,2026-02-18 21:43:32
240,PSHI-2026-02-I-133574,2,02/08/2026 11:49 PM,,,Assisted LE with access to patient.,Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,2026-02-18 21:43:32
281,PSHI-2026-02-I-133535,2,02/07/2026 04:19 PM,,,,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
370,PSHI-2026-02-I-133435,2,02/05/2026 06:03 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,2026-02-18 21:43:32
374,PSHI-2026-02-I-133426,2,02/05/2026 12:52 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
451,PSHI-2026-02-I-133344,2,02/02/2026 06:00 PM,,,Team deescalation plan for an agitated patient and visitor.,Hershey - Dispatched To: HMC - Emergency Department - 1 - Peds ER > HMC - Emergency Department - 1 - Peds ER,2026-02-18 21:43:32
473,PSHI-2026-02-I-133325,2,02/02/2026 01:50 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
479,PSHI-2026-02-I-133317,2,02/01/2026 09:54 PM,,,Assisted LE with access to patient.,Hershey - Dispatched To: HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk > HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk,2026-02-18 21:43:32
525,PSHI-2026-01-I-133263,2,01/31/2026 09:20 AM,,,Patient made threatening statements to staff.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
536,PSHI-2026-01-I-133252,2,01/31/2026 01:16 AM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
543,PSHI-2026-01-I-133230,2,01/30/2026 03:44 PM,,,Emergency call box test.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2026-02-18 21:43:32
575,PSHI-2026-01-I-133186,2,01/29/2026 03:25 PM,,,Assisted staff with a visitor issue.,Hershey - Dispatched To: HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit East (NICU) > HMC - Children's Hospital - 8 - NICU - Neonatal Intensive Care Unit East (NICU),2026-02-18 21:43:32
685,PSHI-2026-01-I-133074,2,01/26/2026 08:18 AM,,,Personnel matter.,Hershey - Dispatched To: HMC - Cancer Institute - G > HMC - Cancer Institute - G,2026-02-18 21:43:32
786,PSHI-2026-01-I-132967,2,01/22/2026 01:51 PM,,,Assisted valet staff with agitated visitor.,Hershey - Dispatched To: HMC - Main Hospital - 1 - Main Entrance\Valet > HMC - Main Hospital - 1 - Main Entrance\Valet,2026-02-18 21:43:32
866,PSHI-2026-01-I-132863,2,01/19/2026 02:27 PM,,,Minor crash on campus.,Hershey - Dispatched To: HMC - South Addition Drive    > HMC - South Addition Drive,2026-02-18 21:43:32
868,PSHI-2026-01-I-132862,2,01/19/2026 01:11 PM,,,Assisted clinical staff with visitor problem.,Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,2026-02-18 21:43:32
945,PSHI-2026-01-I-132748,2,01/16/2026 03:41 PM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
970,PSHI-2026-01-I-132719,2,01/16/2026 12:22 AM,,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
991,PSHI-2026-01-I-132681,2,01/15/2026 01:45 PM,,,Assisted clinical staff with agitated patient.,Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,2026-02-18 21:43:32
1096,PSHI-2026-01-I-132557,2,01/12/2026 11:11 AM,,,Assisted clinical staff with an agitated patient.,Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,2026-02-18 21:43:32
1098,PSHI-2026-01-I-132555,2,01/12/2026 10:31 AM,,,Assisted clinical staff with an agitated visitor.,Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,2026-02-18 21:43:32
