id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
2,2026-00002149,2,02/18/2026 01:03 AM,2026-02-18 01:03:00,02/18/2026 01:53 AM,Visitor requested assistance with a personal matter,EISENHOWER PARKING DECK,2026-02-18 21:43:32,2026-02-18,2026,2,February,1,Wednesday,False,Late Night
3,2026-00002147,2,02/18/2026 12:05 AM,2026-02-18 00:05:00,02/18/2026 12:38 AM,Employee reported a gas leak,GUION S BLUFORD BLDG,2026-02-18 21:43:32,2026-02-18,2026,2,February,0,Wednesday,False,Late Night
4,26ALtemp00008,3,02/17/2026 08:47 PM,2026-02-17 19:05:00,02/17/2026 08:47 PM,Employee reported a concern for another student,Slep Student Center,2026-02-18 21:43:32,2026-02-17,2026,2,February,19,Tuesday,False,Evening
5,26HNtemp0006,15,02/17/2026 08:34 PM,2026-02-17 20:24:00,02/17/2026 08:40 PM,Employee reported suspicious vehicle,NORTH HALL,2026-02-18 21:43:32,2026-02-17,2026,2,February,20,Tuesday,False,Evening
6,2026-00002133,2,02/17/2026 06:24 PM,2026-02-17 18:15:00,02/17/2026 08:28 PM,Employee reported a concern for another person,REDIFER HALL,2026-02-18 21:43:32,2026-02-17,2026,2,February,18,Tuesday,False,Evening
7,2026-00002131,2,02/17/2026 06:04 PM,2026-01-10 00:00:00,02/17/2026 06:00 PM,Student reported the loss or theft of their unattended personal property,RUNKLE HALL,2026-02-18 21:43:32,2026-01-10,2026,1,January,0,Saturday,True,Late Night
8,2026-00002119,2,02/17/2026 03:13 PM,2026-02-17 15:13:00,02/17/2026 04:35 PM,Visitor requested assistance with an administrative matter,UNIVERSITY SUPPORT BLDG I,2026-02-18 21:43:32,2026-02-17,2026,2,February,15,Tuesday,False,Afternoon
9,26BRtemp0003,6,02/17/2026 02:00 PM,2026-02-17 13:58:00,02/17/2026 02:00 PM,Employee reported a vehicle crash with no injuries,University Dr,2026-02-18 21:43:32,2026-02-17,2026,2,February,13,Tuesday,False,Afternoon
10,2026-00002115,2,02/17/2026 01:59 PM,2026-02-17 13:30:00,02/17/2026 01:50 PM,Employee reported a suspicious person,HINTZ FAMILY ALUMNI CENTER,2026-02-18 21:43:32,2026-02-17,2026,2,February,13,Tuesday,False,Afternoon
11,2026-00002114,2,02/17/2026 01:30 PM,2026-02-16 16:43:00,02/16/2026 05:36 PM,Employee reported persons trespassing inside a University building,GREENBERG INDOOR SPORTS,2026-02-18 21:43:32,2026-02-16,2026,2,February,16,Monday,False,Afternoon
12,26ALtemp00007,3,02/17/2026 01:30 PM,2026-02-17 13:30:00,,Employee reported a two vehicle crash with no injuries,Slep Lot,2026-02-18 21:43:32,2026-02-17,2026,2,February,13,Tuesday,False,Afternoon
13,2026-00002113,2,02/17/2026 11:28 AM,2026-02-14 00:00:00,02/17/2026 11:28 AM,Student reported being harassed,MARTIN ST,2026-02-18 21:43:32,2026-02-14,2026,2,February,0,Saturday,True,Late Night
14,26BRtemp0002,6,02/17/2026 11:06 AM,2026-02-17 00:00:00,02/17/2026 11:06 AM,Employee reported concern for another person,POLICE SERVICES BLDG,2026-02-18 21:43:32,2026-02-17,2026,2,February,0,Tuesday,False,Late Night
