location,count
Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,172
Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,102
Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,51
LIONS GATE AT PENN STATE ABINGTON,49
UNIVERSITY SUPPORT BLDG I,39
Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,28
Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,20
Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,17
OAK HALL,17
BEAVER STADIUM,16
BRYCE JORDAN CENTER,16
Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,15
EAST PARKING DECK,14
Hershey - Dispatched To: HMC - UPC-1 > HMC - UPC-1,14
NITTANY PARKING,13
Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,12
NIAGARA HALL,11
Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East > HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East,11
ORCHARD HALL,11
REDIFER HALL,10
SIMMONS HALL,10
HUB PARKING DECK,10
Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,10
PENNYPACKER HALL,9
HARMONY HALL,9
COMMONS & ATHLETIC CENTER,9
STUART HALL,9
OFF CAMPUS FRATERNITY,8
Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,8
OLMSTED BUILDING,8
Hershey - Dispatched To: HMC - 30 Hope Drive > HMC - 30 Hope Drive,8
LAUREL HALL,7
Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuro > HMC - Main Hospital - 4 - Neuro,7
CEDAR HALL,7
BEAVER HALL,7
UNKNOWN LOCATION,7
