location,count
Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,152
Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,91
LIONS GATE AT PENN STATE ABINGTON,49
Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,46
Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,24
Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,18
Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,15
Hershey - Dispatched To: HMC - UPC-1 > HMC - UPC-1,14
Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,13
Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East > HMC - Main Hospital - 4 - Neuroscience Integrated Care Unit East,11
Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,8
Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,8
Hershey - Dispatched To: HMC - 30 Hope Drive > HMC - 30 Hope Drive,8
Hershey - Dispatched To: HMC - Main Hospital - 4 - Neuro > HMC - Main Hospital - 4 - Neuro,7
Hershey - Dispatched To: HMC - Main Hospital - 4 > HMC - Main Hospital - 4,7
LARES BUILDING,6
Hershey - Dispatched To: HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk > HMC - Children's Hospital - 1 - Children's Hospital Main Information Desk,6
Hershey - Dispatched To: HMC - Main Hospital  > HMC - Main Hospital,5
Hershey - Dispatched To: HMC - Main Hospital - 1 - Main Information Desk > HMC - Main Hospital - 1 - Main Information Desk,5
WOODLAND BUILDING,5
Hershey - Dispatched To: HMC - Children's Hospital - 6 > HMC - Children's Hospital - 6,5
UNIVERSITY SUPPORT BLDG I,4
Hershey - Dispatched To: HMC - Centerview Parking Garage > HMC - Centerview Parking Garage,4
LOT G - ABINGTON,4
