location,count
OAK HALL,17
CEDAR HALL,7
SPRUCE HALL,4
HAWTHORN LOT - ALTOONA,4
POPLAR BLDG,4
MAPLE HALL,4
CAMPUS VIEW DR,4
PENN LOT - GPE - ALTOONA,3
RIDER LOT - ALTOONA,2
SLEP STUDENT CENTER,2
IVY LOT - GIV - ALTOONA,2
PENN BLDG,2
MAPLE LOT - GMA - ALTOONA,2
HAWTHORN BLDG,2
JEFFERSON ST,2
JUNIATA GAP RD,2
Slep Student Center,1
Slep Lot,1
Poplar Building,1
PORT SKY,1
CEDAR LOT - PCE - ALTOONA,1
E PLEASANT VALLEY BLVD & GRANT ST,1
GRANDVIEW RD,1
BROADWAY & E PENN AVE,1
ROSSMAN PARK,1
MAPLE HALL LOT,1
N 7TH AVE,1
KAZMAIER FAMILY BLDG,1
GWIN RD & RIDER FARM RD,1
JUNIATA GAP RD & ANTRIM LN,1
11TH ST,1
COLONIAL DR,1
E WOPSONONOCK AVE & IVYSIDE DR,1
OAK LOT - BOA - ALTOONA,1
IVYSIDE PARK,1
SMITH BLDG,1
IVYSIDE PARK & JUNIATA GAP RD,1
JUNIATA GAP RD & RIDER FARM RD,1
N 4TH AVE & N 13TH ST,1
DAVIS RD,1
W 14TH AVE,1
6TH AVE,1
15TH ST & 16TH AVE,1
25TH AVE,1
25TH AVE & JUNIATA GAP RD,1
COLONEL DRAKE HWY & SKYLINE DR,1
SLEP LOT - YSL - ALTOONA,1
PORT SKY CAFE,1
PARKSIDE DR,1
JUNIATA GAP RD & BECKERS LN,1
POPLAR LOT - BPO - ALTOONA,1
GWIN RD,1
N 8TH ST & N 3RD AVE,1
