location,count
LAUREL HALL,7
FACULTY STAFF VISITOR LOT B1 - BERKS,5
LUERSSEN SCIENCE BUILDING,4
IVY HALL,4
CLARY DR,4
HILLVALE AVE & SPOHN RD,2
PERKINS STUDENT CENTER,2
COMMUTER LOT G1 - BERKS,2
PEPPERWOOD HALL,1
FACULTY STAFF VISITOR LOT B1- BERKS,1
POPLAR HALL,1
GREENWICH ST,1
PAPERMILL RD,1
FACULTY STAFF VISITOR LOT B2 - BERKS,1
AMBER HALL,1
PA-12 & US-422,1
RESIDENCE HALL LOT R1 - BERKS,1
FRANCO BUILDING,1
WILLOW HALL,1
BEAVER ATHLETICS AND WELLNESS CENTER,1
THE BOWMAN RESIDENCE CENTER,1
GREENHOUSE,1
29TH WAY N,1
OAKMOSS HALL,1
