id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
9,26BRtemp0003,6,Berks,02/17/2026 02:00 PM,02/17/2026 01:58 PM,02/17/2026 02:00 PM,Employee reported a vehicle crash with no injuries,University Dr,2026-02-18 21:43:32,2026-02-17,2026,2,February,14,Tuesday,False,Afternoon
14,26BRtemp0002,6,Berks,02/17/2026 11:06 AM,02/17/2026 12:00 AM,02/17/2026 11:06 AM,Employee reported concern for another person,POLICE SERVICES BLDG,2026-02-18 21:43:32,2026-02-17,2026,2,February,11,Tuesday,False,Morning
142,26BRtemp0001,6,Berks,02/12/2026 02:29 AM,02/12/2026 02:29 AM,02/12/2026 02:49 AM,Employee reported a concern for a student,HARMONY HALL,2026-02-18 21:43:32,2026-02-12,2026,2,February,2,Thursday,False,Late Night
250,26BR00007,6,Berks,02/08/2026 03:19 PM,02/08/2026 03:19 PM,,Visitor reported suspicious activity,UNIVERSITY DR,2026-02-18 21:43:32,2026-02-08,2026,2,February,15,Sunday,True,Afternoon
279,26BR00006,6,Berks,02/07/2026 06:56 PM,02/07/2026 06:55 PM,02/07/2026 07:29 PM,Student reported a suspicious odor,HARMONY HALL,2026-02-18 21:43:32,2026-02-07,2026,2,February,18,Saturday,True,Evening
646,26BR00005,6,Berks,01/27/2026 12:36 PM,01/25/2026 12:00 AM,01/27/2026 05:00 AM,Employee reported damage to University property,UNIVERSITY DR,2026-02-18 21:43:32,2026-01-27,2026,1,January,12,Tuesday,False,Afternoon
654,26BR00004,6,Berks,01/27/2026 10:39 AM,01/23/2026 12:00 AM,01/27/2026 10:39 AM,Employee reported damage to University property,STUDENT UNION BUILDING,2026-02-18 21:43:32,2026-01-27,2026,1,January,10,Tuesday,False,Morning
672,26BR00003,6,Berks,01/26/2026 08:32 PM,01/26/2026 08:32 PM,01/26/2026 08:57 PM,Assisted the ambulance with a medical emergency,HARMONY HALL,2026-02-18 21:43:32,2026-01-26,2026,1,January,20,Monday,False,Evening
720,26BR00002,6,Berks,01/24/2026 01:01 PM,01/20/2026 02:00 PM,01/24/2026 04:47 PM,Employee reported a concern for a student,HARMONY HALL,2026-02-18 21:43:32,2026-01-24,2026,1,January,13,Saturday,True,Afternoon
958,26BR00001,6,Berks,01/16/2026 12:00 PM,01/14/2026 02:00 PM,01/16/2026 12:00 PM,Employee reported damage to University property,BAKER ENGINEERING & SCIENCE BUILDING,2026-02-18 21:43:32,2026-01-16,2026,1,January,12,Friday,False,Afternoon
1459,26BR00011,6,Berks,02/18/2026 01:30 PM,02/16/2026 12:00 AM,02/16/2026 11:59 PM,Employee reported unsafe conditions,LOT A - BEAVER,2026-02-21 20:58:08,2026-02-18,2026,2,February,13,Wednesday,False,Afternoon
1474,26BR00010,6,Berks,02/17/2026 02:00 PM,02/17/2026 01:58 PM,,Student reported a two vehicle crash with no injuries,HARMONY HALL LOT - BEAVER,2026-02-21 20:58:08,2026-02-17,2026,2,February,14,Tuesday,False,Afternoon
1478,26BR00009,6,Berks,02/17/2026 11:06 AM,02/17/2026 11:06 AM,,Employee reported a concern for another person,UNIVERSITY DR,2026-02-21 20:58:08,2026-02-17,2026,2,February,11,Tuesday,False,Morning
1508,26BR00008,6,Berks,02/12/2026 02:49 AM,02/12/2026 02:49 AM,02/12/2026 03:00 AM,Student reported a concern for another student,HARMONY HALL,2026-02-21 20:58:08,2026-02-12,2026,2,February,2,Thursday,False,Late Night
1559,26BR00013,6,Berks,02/21/2026 10:21 PM,02/21/2026 10:21 PM,02/21/2026 10:54 PM,Assisted the ambulance with a medical emergency,HARMONY HALL,2026-02-25 02:54:48,2026-02-21,2026,2,February,22,Saturday,True,Late Night
1571,26BR00012,6,Berks,02/21/2026 02:06 PM,02/21/2026 02:06 PM,02/21/2026 02:11 PM,Employee reported suspicious activity,UNIVERSITY DR,2026-02-25 02:54:48,2026-02-21,2026,2,February,14,Saturday,True,Afternoon
1635,26BR00016,6,Berks,02/25/2026 06:50 PM,02/25/2026 06:50 PM,02/25/2026 07:15 PM,Employee reported a fire alarm activation,HARMONY HALL,2026-02-26 23:59:30,2026-02-25,2026,2,February,18,Wednesday,False,Evening
1655,26BR00015,6,Berks,02/25/2026 01:45 AM,02/25/2026 01:45 AM,02/25/2026 01:59 AM,Student reported a University policy violation,HARMONY HALL,2026-02-26 23:59:30,2026-02-25,2026,2,February,1,Wednesday,False,Late Night
1681,26BR00014,6,Berks,02/24/2026 02:46 PM,02/21/2026 03:00 AM,02/24/2026 02:46 PM,Student reported the theft of their unattended personal property,HARMONY HALL,2026-02-26 23:59:30,2026-02-24,2026,2,February,14,Tuesday,False,Afternoon
