id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
19,26ERtemp0006,5,Erie (Behrend),02/16/2026 09:43 PM,02/16/2026 09:43 PM,02/16/2026 10:15 PM,Student reported suspicious activity,REED UNION BUILDING,2026-02-18 21:43:32,2026-02-16,2026,2,February,21,Monday,False,Evening
24,26ERtemp0005,5,Erie (Behrend),02/16/2026 03:20 PM,02/16/2026 03:15 PM,02/16/2026 03:45 PM,Employee reported a concern for a visitor,REED LOT,2026-02-18 21:43:32,2026-02-16,2026,2,February,15,Monday,False,Afternoon
36,26ERtemp0004,5,Erie (Behrend),02/15/2026 08:15 PM,02/15/2026 08:13 PM,02/15/2026 09:12 PM,Employee reported a power outage and alarm activation,NIAGARA HALL,2026-02-18 21:43:32,2026-02-15,2026,2,February,20,Sunday,True,Evening
60,26ERtemp0003,5,Erie (Behrend),02/14/2026 09:03 PM,02/14/2026 09:03 PM,02/14/2026 09:30 PM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32,2026-02-14,2026,2,February,21,Saturday,True,Evening
117,26ERtemp0002,5,Erie (Behrend),02/13/2026 12:00 AM,02/13/2026 12:00 AM,02/13/2026 12:10 AM,Resident Assistant reported a suspicious odor,NIAGARA HALL,2026-02-18 21:43:32,2026-02-13,2026,2,February,0,Friday,False,Late Night
153,26ERtemp0001,5,Erie (Behrend),02/11/2026 05:31 PM,02/11/2026 05:31 PM,02/11/2026 05:50 PM,Assisted the fire department with a reported fire,SENAT HALL,2026-02-18 21:43:32,2026-02-11,2026,2,February,17,Wednesday,False,Afternoon
179,26ER00046,5,Erie (Behrend),02/10/2026 10:45 PM,02/10/2026 10:45 PM,,Student reported the theft of University property,NIAGARA HALL,2026-02-18 21:43:32,2026-02-10,2026,2,February,22,Tuesday,False,Late Night
263,26ER00045,5,Erie (Behrend),02/08/2026 12:28 AM,02/08/2026 12:28 AM,02/08/2026 01:00 AM,Assisted Residence Life staff with a University policy violation,ELLIOTT HALL,2026-02-18 21:43:32,2026-02-08,2026,2,February,0,Sunday,True,Late Night
318,26ER00044,5,Erie (Behrend),02/06/2026 03:03 PM,02/05/2026 12:00 AM,02/05/2026 11:59 PM,Student reported being harassed,REED BUILDING,2026-02-18 21:43:32,2026-02-06,2026,2,February,15,Friday,False,Afternoon
367,26ER00043,5,Erie (Behrend),02/05/2026 08:20 AM,02/05/2026 08:19 AM,02/05/2026 08:30 AM,Employee reported a fire alarm activation,SENAT HALL,2026-02-18 21:43:32,2026-02-05,2026,2,February,8,Thursday,False,Morning
402,26ER00042,5,Erie (Behrend),02/04/2026 08:28 AM,02/04/2026 08:28 AM,,Employee reported suspicious activity,COLLEGE DR,2026-02-18 21:43:32,2026-02-04,2026,2,February,8,Wednesday,False,Morning
506,26ER00041,5,Erie (Behrend),01/31/2026 09:33 PM,01/31/2026 09:33 PM,01/31/2026 09:42 PM,Employee reported an alarm activation,METZGAR ADMISSIONS & ALUMNI CTR,2026-02-18 21:43:32,2026-01-31,2026,1,January,21,Saturday,True,Evening
512,26ER00040,5,Erie (Behrend),01/31/2026 03:07 PM,01/31/2026 03:07 PM,01/31/2026 03:15 PM,Employee reported a fire alarm activation,TRIPPE HALL,2026-02-18 21:43:32,2026-01-31,2026,1,January,15,Saturday,True,Afternoon
522,26ER00039,5,Erie (Behrend),01/31/2026 11:32 AM,01/31/2026 11:32 AM,01/31/2026 11:45 AM,Employee reported a suspicious item,DOBBINS HALL,2026-02-18 21:43:32,2026-01-31,2026,1,January,11,Saturday,True,Morning
527,26ER00038,5,Erie (Behrend),01/31/2026 08:53 AM,01/31/2026 08:53 AM,01/31/2026 09:30 AM,Employee reported a parking concern,TIFFANY LOT - ERIE,2026-02-18 21:43:32,2026-01-31,2026,1,January,8,Saturday,True,Morning
583,26ER00037,5,Erie (Behrend),01/29/2026 09:29 AM,01/29/2026 09:27 AM,01/29/2026 09:40 AM,Employee reported a fire alarm activation,TRIPPE HALL,2026-02-18 21:43:32,2026-01-29,2026,1,January,9,Thursday,False,Morning
586,26ER00036,5,Erie (Behrend),01/29/2026 08:45 AM,01/29/2026 08:40 AM,01/29/2026 09:20 AM,Student reported a one vehicle crash with no injuries,TECHNOLOGY DR,2026-02-18 21:43:32,2026-01-29,2026,1,January,8,Thursday,False,Morning
587,26ER00035,5,Erie (Behrend),01/29/2026 07:00 AM,01/29/2026 07:00 AM,01/29/2026 07:30 AM,Employee reported a parking concern,ALMY LOT - ERIE,2026-02-18 21:43:32,2026-01-29,2026,1,January,7,Thursday,False,Morning
593,26ER00034,5,Erie (Behrend),01/28/2026 09:17 PM,01/28/2026 09:17 PM,01/28/2026 09:40 PM,Employee reported an alarm activation,CARRIAGE HOUSE,2026-02-18 21:43:32,2026-01-28,2026,1,January,21,Wednesday,False,Evening
604,26ER00033,5,Erie (Behrend),01/28/2026 06:21 PM,01/28/2026 06:21 PM,01/28/2026 06:40 PM,Employee reported a parking concern,TIFFANY LOT - ERIE,2026-02-18 21:43:32,2026-01-28,2026,1,January,18,Wednesday,False,Evening
