location,count
NIAGARA HALL,11
SENAT HALL,5
TRIPPE HALL,5
COLLEGE DR,4
METZGAR ADMISSIONS & ALUMNI CTR,4
REED BUILDING,3
ELLIOTT HALL,2
TIFFANY LOT - ERIE,2
ALMY LOT - ERIE,2
PORCUPINE HALL,2
ALMY HALL,2
OHIO HALL,2
SMITH CHAPEL & CARILLON,2
TIGRESS HALL,2
REED UNION BUILDING,1
REED LOT,1
DOBBINS HALL,1
TECHNOLOGY DR,1
CARRIAGE HOUSE,1
RESIDENCE HALL COMPLEX,1
LAWRENCE HALL,1
TIFFANY HALL,1
SENAT HALL SIDEWALK,1
REED BUILDING NORTH SIDEWALK,1
JORDAN RD & COLLEGE DR,1
REDC PARKING DECK,1
KNOWLEDGE PKWY,1
REED LOT - ERIE,1
VARIOUS ON-CAMPUS BUILDINGS AND RESIDENCE HALLS,1
