location,count
OLMSTED BUILDING,8
MAHANOY HOUSE,6
JUNIATA HOUSE,6
CAPITAL UNION BUILDING,3
OLMSTED PARKING LOT - HARRISBURG,3
FALCON HALL,2
CONOY HOUSE,2
STUDENT ENRICHMENT CENTER,2
E HIGH ST,2
SPRING ST,2
SUSQUEHANNA BUILDING,2
W MAIN ST,2
LOWER OLMSTED WEST LOT - HARRISBURG,1
UNKNOWN LOCATION,1
W MAIN ST & N CATHERINE ST,1
1ST ST & OLMSTEAD DR,1
WOODLAND APPARTMENTS,1
SHERMAN HOUSE,1
MUNCY HOUSE,1
EDUCATIONAL ACTIVITIES BUILDING,1
SIGNAL HALL,1
PAXTON HOUSE,1
LEUBNITZER WEG 1,1
ACADEMIC LEARNING CENTER,1
GENESIS CT,1
SWATARA CUB LOT - HARRISBURG,1
EAB LOT - HARRISBURG,1
OLMSTED DRIVE LOT - HARRISBURG,1
UPPER OLMSTED WEST LOT - HARRISBURG,1
