id,incident_number,campus_id,final_campus,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,date,year,month,month_name,hour,day_of_week,is_weekend,time_bucket
5,26HNtemp0006,15,Hershey,02/17/2026 08:34 PM,02/17/2026 08:24 PM,02/17/2026 08:40 PM,Employee reported suspicious vehicle,NORTH HALL,2026-02-18 21:43:32,2026-02-17,2026,2,February,20,Tuesday,False,Evening
18,26HNtemp0005,15,Hershey,02/16/2026 09:44 PM,02/16/2026 09:44 PM,02/16/2026 11:35 PM,Assisted a law enforcement agency with an investigation,527 W COUNTY RD,2026-02-18 21:43:32,2026-02-16,2026,2,February,21,Monday,False,Evening
140,26HNtemp0001,15,Hershey,02/12/2026 08:00 AM,02/10/2026 12:00 AM,02/12/2026 08:00 AM,Employee requested assistance with an administrative matter,6585 MCKINLEY ST,2026-02-18 21:43:32,2026-02-12,2026,2,February,8,Thursday,False,Morning
145,26HNtemp0002,15,Hershey,02/11/2026 11:55 PM,02/11/2026 11:55 PM,02/12/2026 12:05 AM,Assisted Law Enfoecement agency with an investigation,PA-93 & WOODBINE ST,2026-02-18 21:43:32,2026-02-11,2026,2,February,23,Wednesday,False,Late Night
254,26HN00009,15,Hershey,02/08/2026 09:35 AM,02/08/2026 09:35 AM,,Employee reported a fire alarm activation,DINING HALL,2026-02-18 21:43:32,2026-02-08,2026,2,February,9,Sunday,True,Morning
343,26HN00007,15,Hershey,02/05/2026 07:23 PM,02/04/2026 12:00 PM,02/04/2026 06:15 PM,Student reported being harassed,BUTLER BLDG,2026-02-18 21:43:32,2026-02-05,2026,2,February,19,Thursday,False,Evening
346,26HN00008,15,Hershey,02/05/2026 06:09 PM,02/05/2026 06:09 PM,02/05/2026 06:15 PM,Employee reported a suspicious odor,KOSTOS BUILDING,2026-02-18 21:43:32,2026-02-05,2026,2,February,18,Thursday,False,Evening
813,26HN00005,15,Hershey,01/21/2026 05:15 PM,01/21/2026 05:15 PM,01/21/2026 05:36 PM,Employee reported a fire alarm drill activation,RESIDENCE HALL NORTH,2026-02-18 21:43:32,2026-01-21,2026,1,January,17,Wednesday,False,Afternoon
836,26HN00004,15,Hershey,01/20/2026 06:17 PM,01/20/2026 06:18 PM,01/20/2026 06:20 PM,Officers responded to a 911 hang-up with no voice contact,KOSTOS BUILDING,2026-02-18 21:43:32,2026-01-20,2026,1,January,18,Tuesday,False,Evening
1102,26HN00002,15,Hershey,01/12/2026 08:11 AM,01/12/2026 08:11 AM,01/12/2026 08:20 AM,Employee reported a fire alarm activation,BOOKSTORE,2026-02-18 21:43:32,2026-01-12,2026,1,January,8,Monday,False,Morning
1139,26HN00001,15,Hershey,01/10/2026 12:19 PM,01/10/2026 12:19 PM,01/10/2026 12:30 PM,Employee reported a fire alarm activation,RESIDENCE HALL SOUTH,2026-02-18 21:43:32,2026-01-10,2026,1,January,12,Saturday,True,Afternoon
1342,25HN00164,15,Hershey,12/24/2025 12:42 AM,12/24/2025 12:42 AM,12/24/2025 12:56 AM,Assisted an outside law enforcement agency with an investigation,HILLSIDE DR,2026-02-18 21:43:32,2025-12-24,2025,12,December,0,Wednesday,False,Late Night
1423,26HN00010,15,Hershey,02/19/2026 10:17 PM,02/19/2026 10:17 PM,02/19/2026 10:27 PM,Assisted an outside law enforcement agency with an investigation,PA-93 & UNIVERSITY DR,2026-02-21 20:58:08,2026-02-19,2026,2,February,22,Thursday,False,Late Night
1511,26HN00017,15,Hershey,02/24/2026 04:25 AM,02/24/2026 04:25 AM,02/24/2025 04:50 AM,Employee reported an intrusion alarm activation,DINING HALL,2026-02-25 02:54:48,2026-02-24,2026,2,February,4,Tuesday,False,Late Night
1605,26HN00016,15,Hershey,02/17/2026 08:34 PM,02/17/2026 08:24 PM,02/17/2026 08:45 PM,Employee reported suspicious activity,RESIDENCE HALL NORTH,2026-02-25 02:54:48,2026-02-17,2026,2,February,20,Tuesday,False,Evening
1606,26HN00014,15,Hershey,02/16/2026 09:44 PM,02/16/2026 09:44 PM,02/16/2026 12:00 AM,Assisted an outside law enforcement agency with an investigation,W COUNTY RD,2026-02-25 02:54:48,2026-02-16,2026,2,February,21,Monday,False,Evening
1616,26HN00013,15,Hershey,02/13/2026 12:00 PM,02/08/2026 08:00 AM,02/12/2026 09:00 PM,Employee reported suspicious activity,LOT J - HAZLETON,2026-02-25 02:54:48,2026-02-13,2026,2,February,12,Friday,False,Afternoon
1617,26HN00012,15,Hershey,02/13/2026 08:30 AM,02/13/2026 08:30 AM,02/13/2026 09:00 AM,Assisted an outside law enforcement agency with an investigation,PA-93 & I-81,2026-02-25 02:54:48,2026-02-13,2026,2,February,8,Friday,False,Morning
1619,26HN00011,15,Hershey,02/12/2026 08:30 AM,02/12/2026 08:30 AM,,Employee requested assistance with a civil matter,AZALEA RD,2026-02-25 02:54:48,2026-02-12,2026,2,February,8,Thursday,False,Morning
1622,26HN00015,15,Hershey,02/11/2026 11:15 AM,02/11/2026 11:15 AM,02/11/2026 12:05 PM,Assisted an outside law enforcement agency with an investigation,PA-93 & WOODBINE ST,2026-02-25 02:54:48,2026-02-11,2026,2,February,11,Wednesday,False,Morning
