time_bucket,day_type,nature_short,count
Afternoon,Weekday,Assisted an outside law enforcement agency with an inve,9
Afternoon,Weekday,Employee reported suspicious activity,8
Morning,Weekday,Assisted an outside law enforcement agency with an inve,7
Late Night,Weekday,Underage student observed highly intoxicated and transp,7
Late Night,Weekday,Student observed highly intoxicated and transported to ,7
Evening,Weekday,Assisted an outside law enforcement agency with an inve,6
Late Night,Weekend,A vehicle stop investigation revealed the operator to b,5
Morning,Weekday,Employee reported the theft of University property,5
Late Night,Weekend,Student observed highly intoxicated and transported to ,5
Evening,Weekday,Student reported being harassed,5
Afternoon,Weekend,Student requested assistance with a personal matter,5
Late Night,Weekday,Underage student observed highly intoxicated,5
Late Night,Weekend,Underage student observed highly intoxicated and transp,4
Late Night,Weekend,Underage student observed highly intoxicated,4
Afternoon,Weekday,Student reported the theft of their unsecured personal ,4
Late Night,Weekday,"Resident Assistant reported the odor of marijuana, orig",4
Afternoon,Weekday,Employee reported being harassed,4
Evening,Weekday,Received this department's copy of a Protection From Ab,4
Late Night,Weekend,Assisted clinical staff with agitated patient.,4
Afternoon,Weekday,Student reported a hit and run vehicle crash,4
