location,count
UNIVERSITY SUPPORT BLDG I,35
Hershey - Dispatched To: HMC - Emergency Department > HMC - Emergency Department,20
BRYCE JORDAN CENTER,16
BEAVER STADIUM,15
NITTANY PARKING,13
EAST PARKING DECK,12
Hershey - Dispatched To: HMC - Main Hospital > HMC - Main Hospital,11
HUB PARKING DECK,10
STUART HALL,9
REDIFER HALL,9
PENNYPACKER HALL,8
BEAVER HALL,7
SIMMONS HALL,7
OFF CAMPUS FRATERNITY,6
PINCHOT HALL,6
MCKEAN HALL,6
MCELWAIN HALL,6
HUB ROBESON CULTURAL CENTER,6
UNKNOWN LOCATION,6
AIRPORT AIR TERMINAL BLDG,6
WILLARD BLDG,5
STONE HALL,5
GEARY HALL,5
MARTIN HALL,5
EARLE HALL,5
BEAM HALL,5
Hershey - Dispatched To: HMC - Children's Hospital > HMC - Children's Hospital,5
WHITE BLDG,4
PACKER HALL,4
STUDENT HEALTH CENTER,4
NITTANY APT,4
INTRAMURAL BLDG,4
ATHERTON HALL,4
SOUTH HALLS RESIDENCE COMPLEX,4
ERIC J. BARRON INNOVATION HUB BUILDING,4
MILLER HALL,4
SPROUL HALL,4
Hershey - Dispatched To: HMC - Main Hospital - 4 - Acute Care > HMC - Main Hospital - 4 - Acute Care,4
Hershey - Dispatched To: HMC - Children's Hospital - 3 > HMC - Children's Hospital - 3,4
MILLENNIUM SCIENCE COMPLEX,3
BOUCKE BLDG,3
HIESTER HALL,3
ROBINSON HALL,3
MCKEE HALL,3
E COLLEGE AVE,3
WEST DECK,3
HOYT HALL,3
SNYDER HALL,3
BIGLER RD & MILLENNIUM DR,3
BRUMBAUGH HALL,3
HAMILTON HALL,3
PATTERSON HALL,2
SHULZE HALL,2
COMMUTER JORDAN EAST 1 LOT,2
MCALLISTER BLDG,2
HIBBS HALL,2
RUNKLE HALL,2
MIFFLIN HALL,2
N BURROWES RD,2
RESEARCH DR,2
TENER HALL,2
HOLMES HALL,2
ON CAMPUS PROPERTY,2
COMMUTER JORDAN EAST 2 LOT,2
HASTINGS HALL,2
E PARK AVE & HOSPITAL DR,2
HAMMOND BLDG,2
GRUBB HALL,2
PEGULA ICE ARENA,2
STEPHENS HALL,2
LOT 83 (B) LOT,2
THOMPSON HALL,2
FOOTBALL LOT,2
YOUNG HALL,2
INNOVATION BLVD,2
OSMOND LAB,2
CURTIN HALL,2
PORTER HALL,2
DEIKE BLDG,2
REC HALL,2
SHUNK HALL,2
PATERNO LIBRARY,2
N ATHERTON ST (CLAY LN - RAILROAD AVE),2
CURTIN RD & PORTER RD,2
IKENBERRY HALL,2
OLD MAIN,2
Hershey - Dispatched To: HMC - Main Hospital - 1 - Cashier's Office > HMC - Main Hospital - 1 - Cashier's Office,2
Hershey - Dispatched To: HMC - Main Hospital - 6 - MIMCU > HMC - Main Hospital - 6 - MIMCU,2
Hershey - Dispatched To: HMC - Main Hospital - 6 > HMC - Main Hospital - 6,2
Hershey - Reported Location: HMC - Main Hospital - 1 - Security Operations Center,2
Hershey - Dispatched To: HMC - Main Hospital - 6 - Acute Care > HMC - Main Hospital - 6 - Acute Care,2
Hershey - Dispatched To: HMC - Main Hospital - 1 - Security Operations Center > HMC - Main Hospital - 1 - Security Operations Center,2
WESTGATE BLDG,1
RED A (BUS DEPOT) LOT,1
AG SCIENCE AND INDUSTRIES,1
YELLOW R AG ADMIN LOT,1
FOX HOLLOW RD & E PARK AVE,1
PALLADINO HALL,1
HALLER HALL,1
LUBERT BLDG,1
BIGLER RD & EISENHOWER RD,1
SHORTLIDGE RD & POLLOCK RD,1
