final_campus,total,unique_locations,weekend_incidents,pct_weekend,top_type
Abington,725,200,217,28.7,Assisted clinical staff with agitated patient.
University Park,501,231,154,27.8,Assisted an outside law enforcement agency with an investigation
Altoona,100,53,31,31.0,Assisted an outside law enforcement agency with an investigation
Erie (Behrend),63,29,22,34.9,Employee reported a fire alarm activation
Harrisburg,57,29,16,28.1,Assisted an outside law enforcement agency with an investigation
Beaver,45,24,10,21.7,Employee reported a parking concern
Brandywine,41,13,7,17.1,Employee reported an intrusion alarm activation
Schuylkill,21,16,9,42.9,Assisted an outside law enforcement agency with an investigation
Hershey,20,16,2,10.0,Assisted an outside law enforcement agency with an investigation
Berks,19,8,5,26.3,Employee reported damage to University property
Worthington Scranton,8,8,0,0.0,Employee reported a two vehicle crash with no injuries
Mont Alto,6,5,3,50.0,Student reported theft of their unattended personal property
York,5,5,0,0.0,Employee reported a student was indecently assaulted by a known person at a University sponsored location
Lehigh Valley,5,2,0,0.0,Student reported a hit and run vehicle crash
Shenango,3,3,0,0.0,Employee requested assistance with an administrative matter
DuBois,2,2,0,0.0,Student reported a concerning odor
Wilkes-Barre,2,2,0,0.0,Employee requested assistance with an administrative matter
Great Valley,1,1,0,0.0,Visitor observed urinating in public
Fayette,1,1,0,0.0,Employees reported being harassed
Greater Allegheny,1,1,0,0.0,Employee reported a fire alarm activation
